"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"3559","231.421738906","10.0.0.3","172.18.0.13","OpcUa","154","UA Secure Conversation Message: ReadResponse","88","1725","ReadResponse","zSdHxENuWR","","","","","","","","","","","","0x018","43","4840","60324","0.000479518"
"3560","231.465481904","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86653 Ack=114029 Win=501 Len=0 TSval=1867578103 TSecr=784798455","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.043742998"
"3561","232.919030809","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 64269; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","64269","Write Single Coil","","","","0x018","502","55868","502","1.453548905"
"3562","232.919473831","10.0.0.2","172.18.0.7","Modbus/TCP","78","Response: Trans: 64269; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","64269","Write Single Coil","3561","0.000443022","","0x018","43","502","55868","0.000443022"
"3563","232.919489134","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2785 Ack=2691 Win=502 Len=0 TSval=3726715342 TSecr=4262457257","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000015303"
"3564","233.421452412","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 55235; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","55235","Write Single Coil","","","","0x018","502","55868","502","0.501963278"
"3565","233.421903026","10.0.0.2","172.18.0.7","Modbus/TCP","78","Response: Trans: 55235; Unit:   1, Func:   5: Write Single Coil","","","","","","","","","","6","55235","Write Single Coil","3564","0.000450614","","0x018","43","502","55868","0.000450614"
"3566","233.421918197","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=2797 Ack=2703 Win=502 Len=0 TSval=3726715844 TSecr=4262457759","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000015171"
"3567","233.424623376","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","1726","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.002705179"
"3568","233.425523693","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","1726","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000900317"
"3569","233.425538706","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86754 Ack=114246 Win=501 Len=0 TSval=1867580063 TSecr=784800459","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000015013"
"3570","233.426296991","172.18.0.13","10.0.0.3","OpcUa","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","127","1727","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000758285"
"3571","233.426974682","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","1727","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000677691"
"3572","233.426985588","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=86881 Ack=114325 Win=501 Len=0 TSval=1867580065 TSecr=784800460","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010906"
